Model ; X100+Option
Layout Type ; 0
Data Offset ; 23
Date ; 2019-08-06
Time ; 11:29:43

Time Base ; 5 ms/div
Sensitivity ; 100 uV/div
Pan ; 0 ms
Curve no ; 1-10
Common BaseLine ; Off
Lower Frequency Limit ; 1 Hz
Upper Frequency Limit ; 1 kHz
Trigger Mode ; Stimulus

Curve no ; 1 ; 2 ; 3 ; 4 ; 5 ; 6 ; 7 ; 8 ; 9 ; 10
16000 ; -10 ; 5 ; -25 ; 15 ; -5 ; -250 ; -5 ; 10 ; 5 ; 0
16125 ; -10 ; 5 ; -25 ; 15 ; -5 ; -245 ; -5 ; 10 ; 5 ; 0
16250 ; -10 ; 5 ; -25 ; 15 ; -5 ; -245 ; -5 ; 10 ; 5 ; 0
16375 ; -15 ; 5 ; -25 ; 15 ; -5 ; -245 ; -5 ; 10 ; 10 ; 0
16500 ; -10 ; 5 ; -25 ; 15 ; -5 ; -245 ; -5 ; 10 ; 5 ; 5
16625 ; -15 ; 5 ; -25 ; 20 ; -5 ; -245 ; -5 ; 10 ; 10 ; 5
16750 ; -15 ; 5 ; -25 ; 15 ; -5 ; -245 ; -5 ; 10 ; 5 ; 5
16875 ; -15 ; 5 ; -25 ; 15 ; -5 ; -240 ; 0 ; 10 ; 5 ; 5
17000 ; -15 ; 5 ; -25 ; 15 ; -5 ; -245 ; -5 ; 10 ; 5 ; 5
17125 ; -15 ; 5 ; -25 ; 15 ; -5 ; -240 ; 0 ; 10 ; 10 ; 5
17250 ; -15 ; 5 ; -25 ; 15 ; -5 ; -240 ; -5 ; 10 ; 10 ; 5
17375 ; -15 ; 5 ; -25 ; 20 ; -5 ; -240 ; -5 ; 10 ; 5 ; 5
17500 ; -20 ; 0 ; -25 ; 20 ; -5 ; -240 ; 0 ; 10 ; 5 ; 5
17625 ; -20 ; 5 ; -25 ; 20 ; -5 ; -240 ; 0 ; 10 ; 10 ; 5
17750 ; -15 ; 0 ; -25 ; 15 ; -5 ; -240 ; 0 ; 10 ; 5 ; 5
17875 ; -20 ; 5 ; -25 ; 15 ; -5 ; -240 ; 0 ; 15 ; 10 ; 5
18000 ; -20 ; 5 ; -25 ; 15 ; -5 ; -240 ; 0 ; 15 ; 5 ; 5
18125 ; -20 ; 0 ; -25 ; 20 ; -5 ; -240 ; 0 ; 10 ; 10 ; 5
18250 ; -20 ; 0 ; -25 ; 15 ; -5 ; -240 ; 0 ; 15 ; 5 ; 5
18375 ; -20 ; 0 ; -25 ; 15 ; -5 ; -240 ; 0 ; 10 ; 5 ; 5
18500 ; -20 ; 0 ; -25 ; 15 ; -5 ; -240 ; 0 ; 10 ; 5 ; 10
18625 ; -20 ; 0 ; -30 ; 15 ; -5 ; -240 ; 0 ; 10 ; 10 ; 5
18750 ; -20 ; 0 ; -30 ; 15 ; -5 ; -240 ; 0 ; 10 ; 5 ; 10
18875 ; -20 ; 0 ; -30 ; 20 ; -10 ; -240 ; 0 ; 10 ; 10 ; 5
19000 ; -20 ; 0 ; -35 ; 15 ; -5 ; -235 ; 0 ; 10 ; 10 ; 5
19125 ; -20 ; 0 ; -35 ; 15 ; -5 ; -235 ; 0 ; 10 ; 10 ; 5
19250 ; -20 ; 0 ; -35 ; 15 ; -5 ; -235 ; 0 ; 10 ; 10 ; 5
19375 ; -20 ; 0 ; -35 ; 15 ; -5 ; -235 ; 0 ; 10 ; 10 ; 5
19500 ; -20 ; 0 ; -35 ; 15 ; -5 ; -235 ; 0 ; 10 ; 5 ; 5
19625 ; -20 ; 0 ; -40 ; 15 ; -10 ; -235 ; -5 ; 10 ; 5 ; 5
19750 ; -20 ; -5 ; -40 ; 15 ; -10 ; -235 ; -5 ; 10 ; 5 ; 10
19875 ; -20 ; 0 ; -40 ; 15 ; -10 ; -235 ; -5 ; 10 ; 5 ; 10
20000 ; -20 ; -5 ; -35 ; 15 ; -10 ; -235 ; -5 ; 10 ; 5 ; 10
20125 ; -20 ; 0 ; -40 ; 15 ; -10 ; -235 ; -5 ; 10 ; 5 ; 10
20250 ; -20 ; 0 ; -35 ; 15 ; -10 ; -230 ; -5 ; 10 ; 5 ; 10
20375 ; -20 ; 0 ; -35 ; 15 ; -15 ; -235 ; -5 ; 10 ; 5 ; 5
20500 ; -20 ; -5 ; -35 ; 15 ; -15 ; -235 ; -5 ; 10 ; 5 ; 10
20625 ; -20 ; -5 ; -35 ; 15 ; -15 ; -230 ; -5 ; 10 ; 5 ; 5
20750 ; -20 ; -5 ; -35 ; 15 ; -15 ; -230 ; -5 ; 10 ; 0 ; 5
20875 ; -20 ; -5 ; -40 ; 15 ; -15 ; -230 ; -5 ; 10 ; 5 ; 5
21000 ; -20 ; -5 ; -35 ; 15 ; -15 ; -230 ; -5 ; 10 ; 5 ; 5
21125 ; -20 ; -5 ; -40 ; 15 ; -20 ; -230 ; -5 ; 5 ; 0 ; 5
21250 ; -20 ; -5 ; -40 ; 10 ; -15 ; -230 ; -5 ; 5 ; 0 ; 5
21375 ; -20 ; -5 ; -40 ; 10 ; -20 ; -230 ; -5 ; 10 ; 0 ; 5
21500 ; -20 ; -5 ; -40 ; 10 ; -15 ; -230 ; -5 ; 5 ; 0 ; 5
21625 ; -20 ; -5 ; -40 ; 5 ; -15 ; -230 ; -5 ; 10 ; 0 ; 0
21750 ; -25 ; -5 ; -40 ; 10 ; -15 ; -230 ; -5 ; 5 ; 0 ; 5
21875 ; -25 ; -5 ; -40 ; 5 ; -20 ; -230 ; -5 ; 5 ; 0 ; 0
22000 ; -25 ; -5 ; -45 ; 5 ; -20 ; -230 ; -5 ; 10 ; 5 ; 0
22125 ; -25 ; -5 ; -45 ; 5 ; -20 ; -230 ; -5 ; 5 ; 0 ; 0
22250 ; -25 ; -5 ; -50 ; 5 ; -20 ; -230 ; -5 ; 5 ; 5 ; 0
22375 ; -25 ; -5 ; -50 ; 0 ; -20 ; -230 ; -5 ; 10 ; 5 ; 0
22500 ; -25 ; -5 ; -45 ; 0 ; -20 ; -230 ; -5 ; 5 ; 5 ; 0
22625 ; -25 ; -5 ; -45 ; 0 ; -20 ; -235 ; -10 ; 5 ; 5 ; -5
22750 ; -20 ; -5 ; -45 ; -5 ; -20 ; -235 ; -5 ; 5 ; 10 ; 0
22875 ; -20 ; -5 ; -50 ; -5 ; -20 ; -235 ; -5 ; 5 ; 5 ; 0
23000 ; -15 ; 0 ; -45 ; -5 ; -20 ; -235 ; -5 ; 0 ; 10 ; 0
23125 ; -10 ; 0 ; -45 ; -10 ; -20 ; -240 ; -5 ; 0 ; 10 ; 0
23250 ; -10 ; 5 ; -45 ; -10 ; -20 ; -240 ; -5 ; 0 ; 10 ; 0
23375 ; -5 ; 5 ; -45 ; -10 ; -20 ; -245 ; -5 ; -5 ; 10 ; -5
23500 ; -5 ; 10 ; -40 ; -10 ; -20 ; -245 ; -5 ; -5 ; 5 ; 0
23625 ; 0 ; 10 ; -45 ; -15 ; -20 ; -250 ; -10 ; -5 ; 0 ; 0
23750 ; 0 ; 10 ; -45 ; -15 ; -20 ; -250 ; -10 ; -5 ; -5 ; 0
23875 ; 5 ; 10 ; -45 ; -20 ; -20 ; -250 ; -10 ; -5 ; -5 ; 0
24000 ; 0 ; 10 ; -45 ; -20 ; -25 ; -255 ; -5 ; -5 ; -10 ; 0
24125 ; 0 ; 5 ; -45 ; -20 ; -25 ; -255 ; -5 ; -5 ; -15 ; 0
24250 ; 0 ; 5 ; -45 ; -25 ; -25 ; -250 ; -5 ; -5 ; -20 ; 5
24375 ; 0 ; 0 ; -45 ; -25 ; -30 ; -245 ; 0 ; 0 ; -25 ; 5
24500 ; 0 ; 0 ; -40 ; -30 ; -35 ; -240 ; 0 ; 0 ; -25 ; 5
24625 ; -5 ; 0 ; -30 ; -35 ; -35 ; -230 ; 5 ; 5 ; -30 ; 10
24750 ; -10 ; 0 ; -20 ; -45 ; -35 ; -225 ; 10 ; 10 ; -30 ; 15
24875 ; -15 ; 0 ; -15 ; -55 ; -40 ; -220 ; 10 ; 15 ; -35 ; 15
25000 ; -15 ; 0 ; -5 ; -65 ; -40 ; -210 ; 10 ; 20 ; -35 ; 15
25125 ; -20 ; 0 ; 0 ; -80 ; -40 ; -205 ; 10 ; 25 ; -40 ; 20
25250 ; -20 ; -5 ; 5 ; -95 ; -45 ; -205 ; 10 ; 25 ; -50 ; 20
25375 ; -20 ; -5 ; 5 ; -115 ; -50 ; -200 ; 10 ; 30 ; -60 ; 20
25500 ; -20 ; -5 ; 5 ; -135 ; -60 ; -195 ; 15 ; 30 ; -70 ; 20
25625 ; -20 ; -10 ; -5 ; -150 ; -75 ; -195 ; 15 ; 30 ; -80 ; 20
25750 ; -15 ; -10 ; -15 ; -165 ; -90 ; -190 ; 20 ; 30 ; -90 ; 20
25875 ; -15 ; -10 ; -20 ; -175 ; -105 ; -190 ; 20 ; 30 ; -95 ; 20
26000 ; -10 ; -5 ; -25 ; -180 ; -120 ; -190 ; 20 ; 25 ; -100 ; 20
26125 ; -5 ; -5 ; -30 ; -185 ; -130 ; -190 ; 15 ; 20 ; -105 ; 25
26250 ; 0 ; 0 ; -30 ; -185 ; -140 ; -190 ; 15 ; 15 ; -110 ; 25
26375 ; -5 ; 0 ; -30 ; -180 ; -150 ; -195 ; 10 ; 5 ; -115 ; 25
26500 ; -5 ; 0 ; -30 ; -180 ; -165 ; -195 ; 0 ; -5 ; -115 ; 25
26625 ; -10 ; 0 ; -30 ; -175 ; -175 ; -200 ; -5 ; -15 ; -115 ; 25
26750 ; -10 ; 0 ; -25 ; -175 ; -185 ; -200 ; -15 ; -20 ; -115 ; 30
26875 ; -15 ; 0 ; -20 ; -175 ; -195 ; -205 ; -15 ; -25 ; -115 ; 30
27000 ; -15 ; 5 ; -20 ; -165 ; -205 ; -205 ; -20 ; -30 ; -120 ; 35
27125 ; -20 ; 10 ; -20 ; -160 ; -210 ; -205 ; -25 ; -35 ; -125 ; 35
27250 ; -20 ; 10 ; -20 ; -155 ; -215 ; -200 ; -30 ; -40 ; -135 ; 40
27375 ; -20 ; 10 ; -15 ; -150 ; -215 ; -200 ; -35 ; -45 ; -145 ; 40
27500 ; -25 ; 10 ; -15 ; -145 ; -220 ; -200 ; -45 ; -50 ; -150 ; 40
27625 ; -25 ; 5 ; -10 ; -140 ; -215 ; -200 ; -50 ; -55 ; -150 ; 35
